DATE,precip,humidity,wind_speed,sea_pressure,min_temp,rain
2023-03-27T23:59:00,0.0,48.0,4.7,30.12,47.0,0
2024-03-15T23:59:00,0.005,63.0,7.6,29.87,52.0,1
2024-06-29T23:59:00,0.0,75.0,6.3,29.9,64.0,0
2021-06-21T23:59:00,0.0,69.0,6.1,29.97,65.0,0
2021-10-01T23:59:00,0.0,46.0,3.5,29.95,58.0,0
2022-07-24T23:59:00,0.0,73.0,6.2,29.92,66.0,0
2024-04-04T23:59:00,0.01,67.0,7.9,29.96,53.0,1
2023-07-22T23:59:00,0.0,80.0,5.0,29.88,65.0,0
2023-01-19T23:59:00,0.14,70.0,4.8,30.14,41.0,1
2018-09-10T23:59:00,0.0,74.0,5.4,29.87,66.0,0
2016-07-01T23:59:00,0.0,80.0,7.3,29.94,63.0,0
2023-10-06T23:59:00,0.0,78.0,2.6,29.89,60.0,0
2022-09-16T23:59:00,0.0,71.0,5.0,29.91,66.0,0
2023-11-16T23:59:00,0.01,87.0,2.5,30.0,60.0,1
2016-05-20T23:59:00,0.005,61.0,9.1,29.93,62.0,1
2016-04-27T23:59:00,0.005,62.0,10.1,29.89,58.0,1
2019-05-09T23:59:00,0.07,77.0,6.3,29.86,58.0,1
2022-12-05T23:59:00,0.01,73.0,3.9,30.05,55.0,1
2018-01-25T23:59:00,0.02,60.0,4.6,30.1,47.0,1
2021-12-03T23:59:00,0.0,77.0,5.2,30.11,56.0,0
2023-05-30T23:59:00,0.005,69.0,6.6,29.99,60.0,1
2016-01-06T23:59:00,0.61,73.0,8.1,30.01,54.0,1
2023-02-19T23:59:00,0.005,62.0,3.7,30.06,43.0,1
2021-10-28T23:59:00,0.0,49.0,2.5,30.0,56.0,0
2017-07-08T23:59:00,0.0,84.0,6.9,29.86,68.0,0
2016-08-12T23:59:00,0.0,69.0,8.3,29.99,70.0,0
2022-06-26T23:59:00,0.0,80.0,5.8,29.98,62.0,0
2018-08-14T23:59:00,0.0,69.0,6.0,29.9,73.0,0
2024-07-22T23:59:00,0.0,77.0,4.5,29.87,68.0,0
2020-04-06T23:59:00,0.75,85.0,12.7,29.98,58.0,1
2023-01-09T23:59:00,0.005,69.0,5.8,30.16,49.0,1
2020-04-11T23:59:00,0.01,81.0,5.2,30.01,51.0,1
2021-10-08T23:59:00,0.16,75.0,5.6,30.07,62.0,1
2023-03-14T23:59:00,0.25,77.0,4.2,30.06,54.0,1
2016-01-08T23:59:00,0.02,69.0,2.8,30.06,50.0,1
2017-05-06T23:59:00,0.1,69.0,13.3,29.87,54.0,1
2024-05-23T23:59:00,0.0,71.0,7.2,29.96,60.0,0
2023-05-22T23:59:00,0.005,84.0,5.1,29.96,60.0,1
2024-01-03T23:59:00,0.12,79.0,6.8,30.11,52.0,1
2019-06-22T23:59:00,0.0,68.0,6.3,29.97,63.0,0
2020-06-28T23:59:00,0.005,74.0,7.3,29.87,63.0,1
2016-04-01T23:59:00,0.0,68.0,5.0,30.12,57.0,0
2018-10-22T23:59:00,0.0,77.0,4.7,29.91,63.0,0
2019-03-21T23:59:00,0.23,71.0,5.5,30.16,54.0,1
2021-03-08T23:59:00,0.005,68.0,6.8,30.18,56.0,1
2022-03-11T23:59:00,0.0,50.0,4.0,30.25,46.0,0
2021-06-04T23:59:00,0.0,71.0,4.9,29.97,61.0,0
2024-02-02T23:59:00,0.08,72.0,9.9,29.97,54.0,1
2016-12-24T23:59:00,0.6,58.0,15.4,29.86,53.0,1
2016-12-30T23:59:00,0.51,73.0,3.6,30.03,56.0,1
2020-12-29T23:59:00,0.01,72.0,4.9,30.1,48.0,1
2019-02-17T23:59:00,0.05,59.0,13.2,30.09,51.0,1
2016-01-31T23:59:00,0.14,72.0,18.8,29.9,55.0,1
2024-02-26T23:59:00,0.005,83.0,3.3,30.02,56.0,1
2020-12-04T23:59:00,0.0,45.0,2.3,30.18,42.0,0
2020-03-13T23:59:00,0.39,84.0,6.1,29.96,59.0,1
2019-09-29T23:59:00,0.0,61.0,5.0,29.88,61.0,0
2021-08-08T23:59:00,0.0,71.0,5.1,29.92,67.0,0
2018-08-20T23:59:00,0.0,72.0,7.1,29.94,73.0,0
2022-10-11T23:59:00,0.01,71.0,4.7,30.0,67.0,1
2017-04-12T23:59:00,0.0,67.0,6.7,30.05,56.0,0
2020-07-13T23:59:00,0.0,74.0,6.0,29.92,69.0,0
2021-03-25T23:59:00,0.03,67.0,9.7,29.93,55.0,1
2022-02-13T23:59:00,0.0,26.0,3.6,30.14,48.0,0
2023-01-14T23:59:00,0.75,84.0,8.2,29.98,50.0,1
2018-09-22T23:59:00,0.0,77.0,7.0,29.93,66.0,0
2024-03-12T23:59:00,0.03,74.0,4.4,30.13,55.0,1
2023-01-05T23:59:00,0.22,83.0,8.2,30.13,55.0,1
2019-12-03T23:59:00,0.005,77.0,2.0,30.04,53.0,1
2020-11-23T23:59:00,0.0,72.0,4.7,29.93,56.0,0
2019-04-30T23:59:00,0.07,76.0,5.7,30.0,58.0,1
2023-05-17T23:59:00,0.0,83.0,5.1,29.92,58.0,0
2016-01-05T23:59:00,1.65,80.0,10.8,29.9,58.0,1
2016-01-09T23:59:00,0.005,66.0,2.8,30.21,48.0,1
2020-03-27T23:59:00,0.12,60.0,5.5,30.13,50.0,1
2024-05-27T23:59:00,0.0,75.0,5.3,30.05,59.0,0
2020-07-12T23:59:00,0.0,69.0,4.8,29.9,69.0,0
2024-02-19T23:59:00,0.02,76.0,7.1,30.12,55.0,1
2020-06-30T23:59:00,0.0,64.0,5.9,29.93,63.0,0
2019-03-02T23:59:00,0.17,86.0,10.2,30.07,58.0,1
2024-06-27T23:59:00,0.0,74.0,6.9,29.86,67.0,0
2016-04-10T23:59:00,0.17,73.0,7.5,29.93,59.0,1
2022-09-01T23:59:00,0.0,73.0,5.4,29.76,70.0,0
2021-09-26T23:59:00,0.005,77.0,6.0,30.03,67.0,1
2020-01-30T23:59:00,0.0,53.0,3.8,30.1,47.0,0
2018-01-27T23:59:00,0.0,46.0,2.8,30.17,47.0,0
2023-11-25T23:59:00,0.0,66.0,4.0,30.03,50.0,0
2023-02-05T23:59:00,0.005,77.0,4.7,30.21,48.0,1
2022-01-16T23:59:00,0.0,76.0,3.0,30.07,55.0,0
2020-10-18T23:59:00,0.0,77.0,3.6,29.99,65.0,0
2021-01-29T23:59:00,0.95,78.0,5.8,30.02,49.0,1
2017-08-20T23:59:00,0.0,69.0,6.8,29.94,68.0,0
2022-03-28T23:59:00,0.48,77.0,10.7,29.87,54.0,1
2019-06-05T23:59:00,0.005,83.0,6.2,29.95,61.0,1
2020-02-22T23:59:00,0.11,76.0,7.2,30.08,57.0,1
2016-04-08T23:59:00,0.06,81.0,4.7,29.96,59.0,1
2020-11-06T23:59:00,0.005,72.0,9.0,29.76,63.0,1
2023-01-15T23:59:00,1.05,82.0,6.1,29.89,55.0,1
2016-07-25T23:59:00,0.005,86.0,5.4,29.93,67.0,1
2020-04-10T23:59:00,1.04,93.0,8.7,30.0,55.0,1
2017-05-30T23:59:00,0.005,77.0,7.0,29.93,59.0,1
2020-09-28T23:59:00,0.0,76.0,5.0,29.92,64.0,0
2016-11-20T23:59:00,0.11,79.0,4.6,29.99,59.0,1
2023-09-02T23:59:00,0.01,82.0,5.5,30.0,70.0,1
2019-02-20T23:59:00,0.07,62.0,7.7,29.96,44.0,1
